CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,0,16.08,4,4,1,1,1,1,1,329.1868,382.6699,349.0675
Mexico,0,15.5,2,4,2,2,1,2,2,368.9126,326.5338,399.4219
Mexico,1,15.92,4,4,1,1,1,1,1,391.9692,399.7008,378.3476
Mexico,1,15.83,3,3,2,2,3,3,3,396.6428,411.7743,343.6591
Mexico,1,15.25,1,3,2,1,1,1,1,496.4247,513.2871,478.0306
Mexico,0,15.5,4,4,4,4,1,1,1,369.6136,401.7562,403.2451
Mexico,0,16.0,2,4,2,1,1,1,1,364.0832,349.309,371.4472
Mexico,0,16.0,2,3,2,2,1,1,1,390.5671,360.5362,321.0929
Mexico,0,15.58,4,4,1,1,1,1,1,364.8621,305.202,446.9787
Mexico,1,15.67,3,3,3,2,3,2,2,428.735,504.23199999999997,445.1138
Mexico,1,15.5,4,4,1,1,1,2,1,433.4865,457.6854,482.7863
Mexico,1,15.92,1,4,1,1,2,1,1,356.3717,450.5366,438.9593
Mexico,0,15.58,1,3,2,1,2,2,2,455.9199,461.9021,462.1783
Mexico,1,16.08,3,4,2,1,1,2,2,291.5641,240.8388,280.3432
Mexico,1,16.08,3,3,2,2,1,1,2,536.1505,547.4425,495.7479
Mexico,1,15.5,3,4,2,1,1,1,1,346.9466,415.587,393.5472
Mexico,1,15.58,3,3,2,2,2,2,2,558.1944,608.7632,533.7001
Mexico,1,16.08,2,3,4,3,2,2,2,321.8648,357.6024,274.8415
Mexico,1,15.58,2,3,2,2,3,3,2,292.343,240.8388,307.3853
Mexico,0,15.58,4,4,1,1,2,2,2,480.06699999999995,487.6445,519.433
Mexico,1,16.0,3,3,1,1,1,1,2,385.7377,426.8662,367.1578
Mexico,1,15.58,2,4,2,1,1,1,1,404.5879,487.0749,398.2096
Mexico,0,15.5,4,4,1,1,1,1,1,414.2468,379.9433,485.5837
Mexico,0,15.5,2,4,1,1,1,1,1,412.2215,441.8535,421.2421
Mexico,0,15.83,3,3,2,1,1,1,1,536.0726,482.7527,459.4741
Mexico,0,15.33,3,3,1,2,1,1,1,496.6584,436.4003,468.426
Mexico,1,15.33,2,4,4,4,1,1,1,372.6515,466.4228,389.8172
Mexico,0,15.75,2,3,2,2,2,2,2,445.8716,431.1074,448.8437
Mexico,0,15.42,1,2,2,2,2,1,1,328.0184,355.9652,406.3223
Mexico,0,16.0,3,3,2,3,2,2,1,357.6959,320.9202,261.7866
Mexico,0,15.92,3,4,2,2,2,2,2,535.3716,530.0674,508.8027
Mexico,1,15.92,2,3,1,1,1,1,1,403.7311,471.2681,381.4248
Mexico,0,15.75,3,4,2,2,2,1,2,358.7864,332.9493,351.865
Mexico,1,15.5,4,4,1,2,2,2,1,378.4156,413.2041,366.2253
Mexico,0,16.0,3,3,2,2,2,2,2,498.8394,489.6494,484.2783
Mexico,0,16.08,3,3,2,2,2,2,2,372.5736,368.0745,382.9168
Mexico,0,15.92,2,4,2,2,2,2,2,462.1514,460.3784,500.7833
Mexico,1,15.75,3,3,2,2,2,2,2,399.9922,380.6374,422.8273
Mexico,1,15.92,1,4,1,1,1,2,1,420.9456,455.3025,458.8213
Mexico,1,15.25,3,3,2,2,2,2,2,532.4116,592.7182,488.3812
Mexico,0,15.67,3,4,2,2,1,1,1,452.96,471.5254,478.1238
Mexico,0,16.17,3,4,1,1,1,1,1,504.99300000000005,540.5729,555.8001
Mexico,1,15.92,1,4,1,2,2,1,1,351.5423,350.4536,312.9802
Mexico,1,16.0,3,4,2,2,2,2,2,406.1458,439.0986,412.4767
Mexico,0,16.08,2,3,2,2,2,2,2,339.2351,406.5679,330.7907
Mexico,0,15.92,1,3,2,1,1,1,4,378.0262,398.6286,332.00300000000004
Mexico,1,15.25,3,4,4,2,2,1,2,487.9343,570.4775,442.969
Mexico,0,15.33,3,3,1,1,1,1,1,388.1524,451.55699999999996,441.1041
Mexico,0,15.5,2,4,2,1,1,1,1,493.231,483.715,462.085
Mexico,1,15.92,4,4,2,2,2,2,2,380.2072,421.86199999999997,265.5166
Mexico,1,15.92,3,4,2,2,2,2,2,448.9095,484.7714,449.4965
Mexico,1,15.58,4,4,2,2,2,2,2,511.3024,578.4206,478.4036
Mexico,1,16.08,3,3,3,2,3,2,2,381.9988,415.587,414.0619
Mexico,1,16.08,3,3,2,2,2,1,1,518.936,560.9457,576.9675
Mexico,1,15.75,2,4,2,1,2,2,2,449.0653,497.4009,480.9213
Mexico,0,15.25,3,4,2,1,2,2,1,368.0558,374.4901,471.5964
Mexico,1,15.92,3,4,2,1,1,1,1,423.2824,406.8496,433.6442
Mexico,1,16.08,3,4,1,1,2,2,2,452.7263,411.7743,425.718
Mexico,1,15.42,4,4,1,1,1,1,1,453.5052,546.0127,444.5543
Mexico,0,15.92,3,3,2,1,1,1,2,480.4565,412.1815,420.3096
Mexico,1,16.0,2,3,1,3,2,2,2,513.7171,525.9961,465.069
Mexico,0,16.08,2,3,2,2,2,2,2,368.9126,390.6894,374.2447
Mexico,0,15.58,1,4,1,1,1,1,1,424.9182,372.8862,451.0817
Mexico,1,16.17,3,3,2,1,2,1,1,383.4787,476.7489,361.4696
Mexico,0,16.08,3,3,1,1,1,1,1,631.8819,451.6372,526.4267
Mexico,0,15.67,2,4,2,1,2,1,1,334.4836,372.0843,361.8426
Mexico,0,15.42,2,2,2,2,2,2,2,406.9248,338.0818,381.7046
Mexico,1,16.08,1,3,2,2,1,1,1,519.0918,636.8818,469.3584
Mexico,1,15.92,2,3,2,2,2,1,1,523.0643,572.8604,484.6512
Mexico,1,15.58,4,4,1,1,1,1,1,442.6001,489.4578,446.4192
Mexico,1,15.67,3,3,1,2,2,2,1,476.0165,520.3565,523.8157
Mexico,1,15.75,3,4,2,1,1,1,2,401.4722,443.8644,414.3417
Mexico,0,15.75,2,3,2,2,2,2,2,514.496,489.9702,468.79900000000004
Mexico,0,16.0,3,4,2,1,1,1,1,504.2919,536.9642,475.8859
Mexico,1,15.67,3,4,2,1,2,1,2,415.6489,448.3126,480.5483
Mexico,1,15.58,4,4,1,1,1,1,1,488.4795,533.8598,452.0142
Mexico,0,15.25,1,3,2,3,1,2,4,255.9667,237.5179,285.6583
Mexico,0,16.17,3,3,2,2,2,2,2,378.6493,373.608,340.1156
Mexico,0,16.08,3,3,2,1,1,1,2,465.3451,462.3833,441.3838
Mexico,0,15.5,4,4,2,2,2,2,2,443.0675,485.8001,467.8665
Mexico,0,16.17,3,4,2,1,2,2,2,464.0988,514.6701,490.2462
Mexico,1,15.67,3,3,2,1,1,1,1,537.7863,489.4578,493.3234
Mexico,1,15.58,3,3,2,2,2,2,2,453.8168,410.1857,416.2066
Mexico,1,15.42,1,4,1,1,1,1,3,318.749,376.6658,370.8877
Mexico,0,16.0,4,4,2,1,1,1,1,345.3108,227.8143,309.6233
Mexico,1,16.17,4,4,1,1,1,1,1,310.6481,426.5485,369.0228
Mexico,0,15.67,3,3,2,2,2,2,2,436.3686,443.6178,377.2286
Mexico,1,15.67,2,4,2,1,3,3,3,267.0276,376.5069,301.8836
Mexico,1,15.42,3,3,2,1,1,1,1,428.5013,485.4069,379.2801
Mexico,0,16.08,2,4,2,2,2,2,2,373.4304,403.0393,383.5696
Mexico,1,15.75,4,4,4,1,1,1,1,343.0519,397.0001,336.0127
Mexico,1,15.83,2,4,2,2,2,1,2,309.0902,321.8584,300.9511
Mexico,0,15.33,1,4,2,1,1,2,1,366.9653,372.806,430.56699999999995
Mexico,1,15.75,1,4,1,1,1,1,1,439.5622,455.3819,438.3066
Mexico,0,16.08,3,4,2,1,1,1,1,451.9473,431.5886,464.1365
Mexico,1,15.83,3,4,2,2,2,2,1,440.2633,470.3944,391.4025
Mexico,1,15.5,4,4,1,1,1,1,1,402.5627,439.4163,426.837
Mexico,1,15.5,3,4,2,2,2,2,1,432.6297,455.7791,387.2995
Mexico,0,15.67,3,4,2,1,2,1,2,493.3868,544.1817,519.7128
Mexico,1,16.0,3,3,2,2,2,1,2,469.0061,382.9409,342.9131
Mexico,0,15.42,2,3,3,2,2,2,2,342.1172,319.3163,392.3349
Mexico,0,15.92,3,3,1,1,1,1,1,551.184,569.5231,540.2275
Mexico,0,15.67,4,4,2,2,1,2,2,509.0435,507.61300000000006,510.4812
Mexico,0,16.0,3,3,2,1,1,1,1,389.7102,401.7562,354.9422
Mexico,1,15.33,2,3,2,2,2,2,2,336.0414,308.3551,229.4293
Mexico,0,16.17,3,3,2,2,3,2,3,411.3647,409.6955,396.9974
Mexico,1,15.42,2,4,1,1,1,1,2,318.9827,398.9065,309.3435
Mexico,1,15.33,1,1,1,1,1,1,1,339.0014,351.2479,332.6557
Mexico,1,16.08,3,4,2,1,1,1,1,385.0366,471.983,438.8661
Mexico,1,15.5,3,4,3,2,2,1,2,373.5083,444.9765,413.5024
Mexico,0,15.92,1,3,4,2,1,1,1,538.0978,511.4623,546.1954
Mexico,1,16.17,3,4,2,1,2,2,2,419.3099,426.7868,399.1421
Mexico,1,15.5,3,3,2,2,2,2,2,412.6889,483.8977,369.0228
Mexico,1,16.17,2,4,2,1,1,1,1,476.9512,521.2302,417.4189
Mexico,1,15.67,2,4,2,2,1,1,1,402.0953,349.6593,369.0228
Mexico,1,15.42,3,3,1,1,1,1,1,441.9769,450.2189,417.1391
Mexico,0,15.75,3,4,2,2,1,1,1,384.6471,391.9725,375.5502
Mexico,0,15.5,1,1,1,1,1,1,1,406.769,329.5812,484.6512
Mexico,0,15.58,2,2,2,3,2,2,2,413.0005,420.3614,366.0388
Mexico,1,15.25,4,4,1,1,1,1,1,522.0517,480.085,449.2167
Mexico,0,15.92,2,3,2,2,1,1,1,396.0975,488.3663,396.9974
Mexico,1,16.08,1,4,1,1,1,1,1,283.9305,360.7796,249.6643
Mexico,1,15.67,3,4,2,1,1,1,1,554.6892,548.1574,489.3137
Mexico,1,15.42,3,3,1,1,1,1,1,420.7898,390.1691,392.3349
Mexico,0,15.58,4,4,1,1,1,1,1,408.5605,364.8667,428.4222
Mexico,0,15.42,3,4,2,2,2,2,1,415.4931,408.653,355.5949
Mexico,0,16.17,1,4,1,1,1,1,1,370.9378,427.4185,427.7695
Mexico,0,15.42,2,2,2,2,1,1,1,376.3125,311.8582,351.3055
Mexico,1,15.58,1,4,3,1,1,1,1,307.065,429.0903,405.3898
Mexico,0,15.75,1,1,1,1,1,1,1,335.3404,315.1462,355.0354
Mexico,0,16.0,2,3,2,2,2,2,2,351.4644,367.2726,417.5121
Mexico,0,15.42,2,4,2,1,2,3,2,427.7224,457.0102,447.3517
Mexico,1,16.0,2,3,2,2,2,2,2,354.5802,298.9823,300.9511
Mexico,0,15.67,2,1,3,2,2,1,2,537.8642,502.8013,501.1563
Mexico,1,15.25,4,4,1,1,1,1,1,539.6557,555.3856,526.6132
Mexico,0,15.25,3,4,2,1,2,3,2,346.0897,256.6042,316.7102
Mexico,1,15.83,4,3,4,3,2,3,4,356.6054,355.8549,311.2085
Mexico,0,15.83,3,3,2,1,1,1,1,362.8369,371.1219,337.3182
Mexico,1,15.25,2,4,1,1,1,2,2,406.8469,446.5651,331.63
Mexico,0,15.42,3,3,2,2,1,1,1,423.2045,431.5084,465.3488
Mexico,1,15.33,3,3,2,2,2,3,2,519.9486,567.3002,482.7863
Mexico,0,15.25,3,3,2,1,3,3,1,370.6263,406.5679,432.4319
Mexico,0,16.17,3,3,2,2,1,1,1,425.775,352.19599999999997,403.1518
Mexico,0,16.17,3,4,3,2,3,2,2,416.272,501.6786,460.9661
Mexico,0,15.83,3,4,3,1,2,1,1,379.9735,350.4317,369.9552
Mexico,0,16.08,3,3,1,1,1,1,1,405.4448,355.2434,424.972
Mexico,0,15.75,4,4,1,1,1,1,1,340.8709,425.975,386.36699999999996
Mexico,1,15.92,4,4,1,1,2,1,1,474.225,517.2587,485.5837
Mexico,0,15.5,1,2,1,2,1,2,1,249.112,283.7099,283.2339
Mexico,0,15.58,2,3,2,2,1,1,1,402.5627,393.7368,396.0649
Mexico,1,15.67,2,2,3,2,2,2,1,428.5013,405.9758,371.8202
Mexico,1,15.75,2,4,1,1,2,1,1,308.7007,329.8809,342.2604
Mexico,0,15.67,3,4,2,1,1,1,1,535.4494,571.4478,515.0504
Mexico,0,15.25,4,4,2,1,1,1,1,505.9277,611.8658,651.2868
Mexico,1,15.75,3,4,1,1,2,1,1,449.0653,518.8473,454.5319
Mexico,1,15.5,3,4,2,2,1,1,1,510.6792,448.3126,492.6706
Mexico,1,15.25,3,3,2,2,2,3,2,346.7129,359.1115,419.3771
Mexico,0,15.42,1,4,2,4,4,2,2,440.5749,433.9944,446.0463
Mexico,1,15.67,4,4,2,1,1,2,2,420.8677,483.1034,454.7184
Mexico,1,15.5,3,3,2,2,2,2,2,384.2577,375.0772,336.2924
Mexico,1,15.58,3,4,2,2,1,1,1,540.8241,568.9683,538.0828
Mexico,1,16.0,2,2,2,2,2,2,2,422.3477,418.1288,380.0261
Mexico,0,15.83,1,2,3,4,2,1,1,261.8087,263.7415,300.9511
Mexico,0,15.33,3,3,1,1,1,1,1,390.5671,399.3504,402.8721
Mexico,1,15.75,3,3,2,2,3,3,2,388.0745,453.0784,425.718
Mexico,1,15.5,4,4,1,1,1,1,1,490.1153,522.9777,477.0048
Mexico,0,16.17,3,3,1,1,1,1,1,341.3382,312.7403,338.2507
Mexico,0,15.58,3,3,2,2,1,1,2,381.9209,425.8948,369.3025
Mexico,1,15.5,2,2,3,3,3,4,4,272.9475,312.009,314.5655
Mexico,0,15.5,3,3,2,2,2,2,1,454.5957,513.387,402.2193
Mexico,1,16.08,1,3,1,2,2,1,2,364.1611,332.9787,303.7486
Mexico,1,16.0,1,4,1,1,1,1,1,438.1601,520.4359,433.0847
Mexico,0,16.08,3,4,1,1,1,1,1,570.0343,573.2121,523.8157
Mexico,1,15.42,3,3,1,1,1,1,2,392.9039,398.1122,335.7329
Mexico,1,15.58,2,4,2,2,1,1,1,389.5544,396.4441,405.3898
Mexico,1,15.5,1,3,2,2,1,1,1,304.105,315.5039,350.6527
Mexico,1,15.92,3,3,2,2,1,1,2,381.064,337.1092,366.2253
Mexico,0,15.58,3,3,3,1,2,1,2,422.3477,398.7088,398.8624
Mexico,0,16.17,3,3,2,2,2,2,2,370.6263,416.9932,403.5248
Mexico,0,16.08,4,4,1,1,1,1,2,375.923,413.9458,352.7975
Mexico,1,15.42,3,4,2,1,2,1,1,332.7699,388.5805,405.3898
Mexico,0,15.83,3,3,1,1,1,1,1,529.5295,544.5025,524.7482
Mexico,0,15.5,3,2,2,2,2,2,2,339.1572,418.5971,375.8299
Mexico,1,15.83,2,3,2,1,1,2,2,360.9674,450.2189,377.9746
Mexico,0,16.08,2,3,2,1,1,1,1,492.1405,441.8535,452.0142
Mexico,1,15.25,3,3,2,2,1,1,1,397.4217,419.7174,379.0936
Mexico,0,16.17,1,4,1,1,1,1,1,401.5501,399.3504,452.6669
Mexico,0,15.75,3,4,4,4,2,2,2,407.47,415.3091,382.0776
Mexico,1,15.33,4,4,1,1,1,1,1,409.1058,459.2741,430.56699999999995
Mexico,1,15.25,3,4,2,1,1,1,1,423.9056,483.8977,425.9045
Mexico,1,15.58,4,4,1,1,1,2,1,443.0675,495.8123,430.56699999999995
Mexico,1,15.83,3,3,2,1,2,2,1,393.9944,329.8015,313.0735
Mexico,0,16.08,4,4,1,1,1,1,1,448.52,500.3955,431.4994
Mexico,0,15.25,4,4,2,1,2,1,1,376.4683,403.3601,381.0518
Mexico,0,15.42,3,3,2,3,3,2,4,376.5462,391.8121,346.27
Mexico,0,15.33,3,3,3,3,2,4,3,540.4346,483.3942,466.0015
Mexico,0,16.17,3,3,2,2,2,2,2,358.7085,417.7951,386.74
Mexico,0,15.67,3,3,2,2,2,2,2,343.1298,302.315,368.0903
Mexico,1,15.67,3,3,2,2,2,2,2,477.5744,504.4703,434.2969
Mexico,0,16.08,2,4,1,1,2,1,1,366.4979,401.7562,376.4827
Mexico,1,16.17,3,3,1,1,1,2,2,422.8151,460.8627,507.031
Mexico,0,16.17,2,3,2,1,1,2,1,438.23800000000006,397.9069,484.2783
Mexico,1,15.42,2,4,2,1,1,1,1,436.3686,467.376,430.3805
Mexico,0,16.08,3,3,2,2,2,2,2,617.2379,642.019,514.1179
Mexico,1,15.42,4,4,1,1,1,1,1,447.7411,550.6197,443.6218
Mexico,1,15.92,3,3,2,2,3,2,2,472.2776,508.6007,498.9183
Mexico,1,16.0,2,3,2,2,2,2,2,354.8138,402.87800000000004,371.5405
Mexico,0,15.42,3,3,2,2,2,2,2,398.668,318.1935,405.3898
Mexico,1,15.42,1,3,1,1,1,2,1,385.1145,354.4251,387.0198
Mexico,1,16.17,1,4,1,1,1,2,1,299.743,310.5792,282.3014
Mexico,0,15.75,4,4,1,1,1,1,1,507.4077,497.9896,504.5132
Mexico,0,15.33,3,3,2,2,2,2,2,484.1954,471.6858,473.0884
Mexico,1,15.33,2,4,2,1,1,1,1,423.2824,397.3179,375.8299
Mexico,0,15.67,3,3,2,1,2,2,2,507.2519,450.0333,471.5964
Mexico,1,16.0,1,4,1,1,1,1,1,368.9126,403.8312,414.3417
Mexico,0,16.08,3,4,2,1,2,2,2,400.6933,414.2666,394.7594
Mexico,0,15.75,2,3,2,1,1,1,1,382.3103,377.6979,410.0522
Mexico,0,15.33,3,3,2,2,1,1,1,513.4055,494.7017,432.4319
Mexico,1,15.33,1,2,3,1,2,1,1,369.38,367.2929,415.6471
Mexico,0,15.83,4,4,2,2,2,2,1,326.6163,329.5812,350.2797
Mexico,0,15.58,3,4,2,1,2,2,2,347.8034,404.1621,369.0228
Mexico,0,16.08,3,3,2,1,2,1,2,415.3373,403.5205,425.9045
Mexico,0,15.58,1,4,2,2,2,2,2,468.5387,477.1391,453.8791
Mexico,1,16.08,3,3,1,1,1,1,1,490.8942,513.446,444.3678
Mexico,1,15.42,3,3,2,2,2,2,2,482.4038,503.8349,512.9056
Mexico,0,15.75,4,4,1,1,1,1,1,474.6144,453.1609,525.9605
Mexico,0,15.58,3,3,1,1,2,2,2,497.9047,442.0139,452.0142
Mexico,1,15.42,4,4,2,2,2,2,2,452.8042,493.5088,511.9731
Mexico,0,16.0,4,4,1,1,1,1,1,377.3251,346.9032,397.5569
Mexico,1,15.92,4,4,1,1,1,1,1,501.2541,494.2237,517.2883
Mexico,0,15.92,4,4,2,1,1,1,1,448.9095,476.3371,492.9504
Mexico,1,15.92,3,3,2,2,2,2,2,312.4396,318.6017,378.3476
Mexico,0,15.75,3,4,2,2,2,2,2,507.4856,445.0613,434.2969
Mexico,0,15.42,3,3,2,2,2,2,2,427.3329,446.8255,450.7087
Mexico,0,15.75,1,4,2,2,2,2,1,462.2293,461.9021,431.7792
Mexico,0,15.5,3,4,2,1,1,2,2,467.60400000000004,522.048,436.0686
Mexico,1,16.08,1,3,2,1,2,3,1,403.0301,439.4163,469.0787
Mexico,0,16.17,4,4,4,4,1,2,1,356.3717,392.1329,383.9426
Mexico,1,15.25,3,4,1,1,1,1,2,468.7724,491.6819,395.1324
Mexico,1,15.83,3,4,2,3,2,3,2,364.7063,408.5971,400.7273
Mexico,1,16.08,3,4,1,1,1,1,1,460.7493,484.69199999999995,458.5416
Mexico,0,16.0,2,4,2,1,2,1,1,366.2642,331.1851,437.0944
Mexico,0,15.58,3,4,2,1,1,1,1,427.8003,399.5108,437.8404
Mexico,1,15.83,3,3,2,2,2,2,2,448.2084,530.4442,405.0168
Mexico,1,15.67,3,4,2,1,2,2,2,392.1249,485.9629,437.6539
Mexico,1,15.42,3,4,2,1,2,2,1,423.2824,469.6001,417.7919
Mexico,0,15.75,3,4,2,2,1,1,1,451.8695,470.6433,457.6091
Mexico,1,15.75,1,4,1,1,1,1,1,406.769,492.7939,447.3517
Mexico,0,15.5,4,4,1,1,1,1,1,435.6675,401.7562,381.0518
Mexico,0,15.25,2,4,1,1,1,2,1,419.23199999999997,441.8535,525.6807
Mexico,1,15.58,2,4,2,2,2,1,1,336.1193,384.6089,355.0354
Mexico,0,15.83,2,3,2,2,2,2,2,487.7785,489.1682,422.1746
Mexico,0,15.67,3,4,2,1,1,2,1,382.6219,432.2301,384.875
Mexico,1,15.25,3,4,2,1,1,2,2,244.9836,247.9876,285.7516
Mexico,1,15.92,3,3,2,2,3,2,2,385.8155,430.7583,414.9944
Mexico,0,15.83,3,3,1,1,1,1,1,468.5387,550.918,525.401
Mexico,0,15.58,4,4,4,4,1,1,1,394.3839,293.5738,328.273
Mexico,1,15.67,3,4,1,1,1,1,1,477.6523,481.6736,529.2242
Mexico,0,15.67,3,3,2,2,1,1,1,343.675,328.9396,333.5882
Mexico,0,15.58,2,2,2,2,2,2,2,411.91,358.4512,435.2294
Mexico,1,15.67,3,3,2,2,2,2,2,426.7098,505.344,479.0563
Mexico,0,15.25,3,4,2,1,1,1,2,561.0765,521.246,502.2753
Mexico,1,16.0,2,3,2,2,2,2,2,445.0927,536.0044,427.3965
Mexico,1,16.17,4,1,1,1,1,1,1,512.9382,520.4359,508.6162
Mexico,0,15.83,3,3,3,3,3,3,3,442.8338,397.7465,439.6121
Mexico,1,16.08,2,4,2,2,3,2,2,368.7568,430.3612,329.4853
Mexico,1,15.25,3,4,1,1,1,1,1,525.9464,560.3103,490.2462
Mexico,0,15.33,4,4,4,1,1,1,1,361.0453,348.8278,365.9455
Mexico,0,15.67,4,4,1,1,1,1,2,367.5105,376.094,389.5375
Mexico,1,15.5,2,3,1,1,1,1,1,346.8687,286.9882,387.0198
Mexico,1,15.33,4,4,2,2,1,2,2,470.3303,491.0465,454.8116
Mexico,0,15.83,3,3,2,2,2,1,1,336.5867,370.4002,430.56699999999995
Mexico,0,15.33,4,4,1,1,1,1,1,448.8316,519.6422,538.7355
Mexico,0,15.42,2,3,2,2,2,2,2,377.6367,302.1546,324.2633
Mexico,0,15.25,2,4,2,2,2,2,2,372.6515,413.4646,372.3797
Mexico,0,15.92,1,2,2,1,2,1,3,368.2895,381.7076,388.605
Mexico,1,15.92,3,3,2,2,2,2,2,395.0849,425.2776,373.6852
Mexico,1,15.25,3,3,2,1,1,1,2,365.9526,405.8964,424.972
Mexico,1,16.0,2,4,2,1,1,1,1,367.121,371.9794,421.5218
Mexico,1,15.25,2,3,2,2,2,2,2,403.1859,456.2557,471.2234
Mexico,1,15.83,3,4,2,1,2,2,1,430.215,475.2397,421.5218
Mexico,1,15.92,4,4,1,1,1,1,1,511.9255,582.3921,562.9802
Mexico,0,15.5,3,4,1,1,1,1,1,438.9391,438.6457,493.0436
Mexico,0,15.33,3,4,2,1,1,1,2,420.1667,430.6262,394.4797
Mexico,0,15.92,3,3,2,2,2,2,2,393.527,467.5157,379.2801
Mexico,0,16.08,3,3,2,2,2,2,2,360.2664,415.3893,381.1451
Mexico,1,16.17,3,3,2,2,2,2,2,399.8364,457.7649,436.4416
Mexico,1,15.75,3,4,1,1,1,1,1,395.9417,447.3594,293.39799999999997
Mexico,1,15.67,2,4,2,2,2,2,2,490.5826,516.3055,454.8116
Mexico,0,15.25,3,3,2,1,1,2,2,409.8847,275.2093,432.4319
Mexico,0,15.58,2,4,1,2,2,1,2,244.1268,241.0464,302.4431
Mexico,1,15.75,3,4,2,2,1,1,1,490.8942,573.8136,458.3551
Mexico,1,15.42,2,3,3,3,2,2,2,344.6876,381.4317,374.6177
Mexico,1,16.0,4,4,1,1,1,1,1,379.7398,385.4032,439.6121
Mexico,1,15.5,3,3,2,2,2,2,2,416.4278,392.7109,433.9239
Mexico,1,16.0,3,4,1,2,1,1,1,464.4882,536.4016,500.7833
Mexico,1,16.0,3,4,3,2,2,2,2,454.3621,436.2391,450.0559
Mexico,1,15.58,3,4,1,1,1,1,2,431.1497,467.2172,419.3771
Mexico,1,15.25,4,4,1,1,4,4,4,397.7333,422.8947,384.5021
Mexico,1,16.0,4,4,1,1,1,1,1,508.0308,509.4745,484.4648
Mexico,1,16.0,2,4,1,1,3,2,2,363.3043,442.5935,408.467
Mexico,0,15.58,3,3,2,2,2,2,1,368.6789,372.0843,387.5793
Mexico,1,15.58,3,4,2,2,2,2,1,314.0754,293.4221,315.6844
Mexico,0,16.17,3,4,2,2,2,1,1,435.9012,470.0819,440.4513
Mexico,0,15.42,3,4,1,2,2,1,1,374.52099999999996,323.9675,395.1324
Mexico,1,15.25,3,3,2,1,1,1,1,456.0757,500.5782,514.2111
Mexico,1,15.67,3,4,1,2,2,2,2,291.642,345.37,291.2533
Mexico,0,15.42,1,3,1,1,1,1,2,393.527,357.0077,330.6043
Mexico,0,15.58,4,4,2,1,1,1,1,611.6295,595.1854,608.6721
Mexico,1,15.58,3,3,1,1,1,1,1,297.6398,296.361,313.0735
Mexico,1,16.17,4,4,1,1,1,1,1,390.645,422.7358,375.2704
Mexico,1,15.58,2,4,1,1,1,1,1,490.2711,502.9611,428.0492
Mexico,1,15.5,3,3,2,2,1,1,1,364.7063,444.341,336.1992
Mexico,0,16.08,2,3,4,1,1,2,1,409.5731,408.8133,429.6345
Mexico,0,15.58,3,4,1,1,1,1,1,513.5613,511.7029,455.0914
Mexico,1,16.0,2,4,1,1,1,1,1,483.4164,446.724,496.4006
Mexico,0,15.58,3,4,2,2,2,2,1,408.3268,490.1306,463.204
Mexico,1,15.75,3,4,1,1,1,1,1,344.9213,386.1975,355.0354
Mexico,1,15.67,3,3,2,1,2,2,2,380.5188,451.33099999999996,338.9034
Mexico,1,15.25,3,4,1,1,1,1,1,374.8325,400.4951,411.9172
Mexico,1,15.58,3,4,3,2,2,1,1,588.2614,692.1658,586.1059
Mexico,1,15.83,3,3,2,2,2,1,1,523.0643,537.9108,477.8441
Mexico,1,15.75,4,4,1,1,1,1,1,336.8983,401.2894,337.3182
Mexico,0,16.17,4,4,4,4,1,2,1,384.9587,276.0112,347.389
Mexico,0,15.75,3,4,2,2,2,1,1,604.7749,601.4406,601.492
Mexico,0,15.67,2,4,2,1,1,1,1,446.4948,404.3224,465.069
Mexico,1,15.33,4,4,1,1,1,1,1,396.7207,432.3469,427.1167
Mexico,0,16.17,4,4,2,2,2,2,2,281.5937,295.8995,313.0735
Mexico,1,15.92,3,3,2,2,1,1,1,502.7341,532.3506,483.066
Mexico,0,15.92,3,3,2,1,1,1,2,543.3946,527.02,540.2275
Mexico,1,15.5,3,4,2,1,1,1,1,413.7794,453.0784,410.7982
Mexico,1,15.67,3,3,2,2,2,2,2,420.0109,450.5366,457.6091
Mexico,0,15.83,3,3,1,1,1,1,1,470.6418,445.2216,458.3551
Mexico,1,15.33,4,4,1,2,1,2,2,506.0056,497.5598,460.0336
Mexico,0,15.33,2,2,2,2,2,1,1,314.0754,182.9856,254.1402
Mexico,0,15.5,1,3,1,1,1,1,1,506.7067,555.7297,444.2745
Mexico,1,15.75,1,4,1,1,1,1,1,432.7855,519.8005,474.9534
Mexico,1,15.75,3,3,2,2,1,1,1,400.849,482.4679,424.599
Mexico,1,15.5,3,4,2,1,1,1,1,474.5365,539.6582,518.9668
Mexico,0,15.92,2,4,2,1,2,2,2,488.7911,442.6554,420.3096
Mexico,0,16.17,3,3,1,1,1,1,2,353.0223,368.0745,326.1283
Mexico,1,16.17,3,3,1,1,1,1,2,413.0005,501.5314,449.9627
Mexico,0,15.92,3,4,1,1,1,1,1,470.1745,456.4489,434.8564
Mexico,1,16.08,2,3,2,2,2,2,2,312.20599999999996,266.8921,313.0735
Mexico,1,16.0,2,4,1,1,1,1,1,422.2698,521.9451,434.2969
Mexico,1,15.67,3,4,2,1,2,1,1,413.9352,435.12699999999995,364.9198
Mexico,0,15.58,2,4,2,2,2,1,2,389.5544,408.0916,370.8877
Mexico,0,15.92,1,4,3,2,2,2,2,419.3099,380.1839,410.332
