CNT,ST04Q01,AGE,ST88Q01,ST88Q02,ST88Q03,ST88Q04,ST89Q02,ST89Q03,ST89Q05,PV1MATH,PV1READ,PV1SCIE
Mexico,0,15.83,4,4,1,2,1,2,2,527.5043,508.5753,519.8993
Mexico,0,15.58,2,4,2,2,2,2,2,566.4512,545.3044,582.5625
Mexico,0,16.0,3,3,1,1,1,1,1,454.4399,458.6943,449.4965
Mexico,1,15.42,3,3,2,2,1,1,2,532.4116,543.4709,564.5655
Mexico,1,15.58,2,3,3,2,2,2,2,347.6476,382.3054,330.13800000000003
Mexico,0,15.83,2,4,2,1,2,2,2,367.1989,378.17900000000003,327.6203
Mexico,0,15.58,4,4,1,1,1,1,1,427.9561,498.7916,392.6147
Mexico,1,15.5,1,1,1,1,2,2,2,200.8179,217.8038,252.4618
Mexico,0,15.92,3,3,2,1,1,1,1,386.8282,364.2252,412.4767
Mexico,1,15.33,3,4,1,1,2,2,1,402.7964,451.2515,348.50800000000004
Mexico,0,15.5,4,4,1,1,1,1,1,516.1318,425.975,522.5103
Mexico,1,16.0,2,3,2,3,2,2,1,311.0375,439.4163,369.86199999999997
Mexico,1,15.25,3,3,2,2,2,2,2,283.0737,308.8317,305.2406
Mexico,1,15.67,2,4,2,1,2,1,1,337.4435,330.7547,312.887
Mexico,0,15.25,2,4,2,1,1,2,1,329.1868,353.7999,308.9705
Mexico,0,15.25,3,4,2,1,3,1,1,392.4365,418.4367,429.6345
Mexico,1,15.67,4,4,1,1,1,1,1,502.7341,533.1449,556.7326
Mexico,1,16.0,3,3,2,2,2,1,1,343.675,415.587,380.2126
Mexico,0,16.08,4,4,1,1,1,1,1,501.8772,487.5644,491.0854
Mexico,0,15.92,3,4,2,1,2,2,1,413.0005,417.7951,426.837
Mexico,1,15.75,3,4,2,1,2,2,2,453.7389,466.4228,453.8791
Mexico,0,15.92,1,3,1,1,1,2,1,361.5127,320.6796,383.0101
Mexico,1,15.92,4,4,1,1,1,1,1,433.5644,472.1419,456.3036
Mexico,1,15.58,3,3,2,2,2,1,1,430.6045,434.4916,436.1619
Mexico,1,15.75,1,4,1,1,1,1,1,243.97099999999998,240.9976,229.8956
Mexico,0,15.83,4,4,1,1,1,1,1,562.0112,510.0188,553.3756
Mexico,1,15.5,4,4,1,1,1,1,1,307.76599999999996,363.0831,292.5587
Mexico,1,15.67,1,1,1,1,2,2,2,479.6775,519.6416,440.8243
Mexico,1,15.83,3,3,2,2,1,1,1,435.8233,454.5082,469.7314
Mexico,1,15.75,4,4,2,1,2,1,1,401.3943,453.7933,440.1716
Mexico,1,16.17,3,3,2,1,1,1,1,494.7889,534.0981,477.1913
Mexico,0,15.42,1,3,1,1,1,1,1,341.0266,375.9336,355.0354
Mexico,0,16.17,3,4,1,1,1,1,1,380.5188,336.7987,413.5024
Mexico,1,15.67,2,4,2,2,1,1,1,394.3839,423.6095,387.0198
Mexico,1,15.58,3,3,2,2,2,2,2,418.7646,450.6955,370.5147
Mexico,1,15.25,3,3,2,1,2,1,1,385.8155,414.0778,419.6568
Mexico,0,16.0,3,3,2,1,2,2,1,359.5654,348.1863,310.8355
Mexico,1,15.58,1,4,1,1,1,1,1,324.4353,422.7358,289.4815
Mexico,0,15.58,3,3,2,2,2,2,2,359.4096,359.7343,302.4431
Mexico,0,15.5,3,4,2,1,2,1,2,406.0679,356.0454,340.0224
Mexico,1,15.5,3,4,1,1,2,1,2,386.205,441.7992,392.3349
Mexico,0,16.08,1,3,1,1,1,1,1,339.0793,348.8278,376.3894
Mexico,1,15.25,3,4,2,2,2,2,1,387.2955,418.7642,406.3223
Mexico,0,16.17,3,4,2,1,2,2,2,449.29900000000004,378.4998,471.5964
Mexico,1,15.5,2,3,3,3,3,3,2,464.4103,546.6482,576.9675
Mexico,0,15.33,3,3,1,1,1,1,1,295.4588,315.9481,292.4655
Mexico,1,15.58,3,3,2,2,2,2,2,394.3839,425.9925,410.332
Mexico,1,15.67,3,3,4,2,2,2,2,454.7515,444.1822,383.0101
Mexico,0,15.58,3,3,2,2,2,2,2,443.8464,433.0321,450.1492
Mexico,0,15.83,2,4,2,1,1,1,2,467.8377,516.5948,507.5905
Mexico,1,15.75,4,4,1,1,1,1,1,378.8051,464.1193,429.9142
Mexico,0,15.58,3,3,2,2,2,2,2,506.3951,488.2861,472.5289
Mexico,0,15.67,3,4,2,1,2,2,1,510.835,446.5048,403.5248
Mexico,0,16.17,2,2,3,3,1,1,1,481.0017,445.0613,434.2969
