CNT,ST04Q01,AGE,ST13Q01,ST17Q01,ST19Q01,ST15Q01,ST26Q10,ST26Q02,BFMJ2,BMMJ1,PV1MATH,PV1READ,PV1SCIE
Mexico,1,16.0,2,2,1,1,1,2,29.47,29.47,441.8212,420.5117,378.3476
Mexico,1,15.33,1,4,1,3,1,2,30.34,16.38,286.7347,372.6148,356.9004
Mexico,0,15.75,2,1,1,1,1,1,76.24,44.94,432.7076,501.1974,440.5446
Mexico,0,16.08,4,4,1,4,1,2,26.85,21.24,497.2815,507.61300000000006,517.5681
Mexico,0,15.58,4,4,1,1,2,1,22.57,16.38,247.9436,295.8995,289.668
Mexico,0,15.67,1,2,2,2,1,1,16.5,16.5,420.8677,423.4889,472.8087
Mexico,0,15.58,3,5,1,1,1,2,30.34,16.38,404.3543,438.5655,401.6598
Mexico,0,15.42,1,4,1,2,1,2,30.59,14.57,341.3382,397.9069,350.37300000000005
Mexico,0,16.08,3,3,2,4,2,1,22.57,18.03,416.1162,300.0696,334.3342
Mexico,0,15.58,2,1,2,1,1,2,57.37,56.98,425.6193,418.2763,434.8564
Mexico,1,15.58,1,5,2,2,1,2,11.74,16.38,471.4208,495.9712,416.3931
Mexico,0,15.83,3,4,4,1,2,1,25.71,11.74,475.62699999999995,400.3127,421.8016
Mexico,0,16.08,3,1,1,4,1,1,54.55,44.14,436.836,465.9118,479.0563
Mexico,1,16.08,5,5,2,1,2,2,28.48,24.53,345.7003,409.0737,328.9258
Mexico,1,15.25,1,2,1,2,1,2,80.75,44.94,476.5618,490.0933,507.9634
Mexico,0,15.67,3,4,1,4,1,1,32.5,23.47,398.9796,403.5205,424.0395
Mexico,0,15.25,2,2,2,4,2,1,79.74,44.94,571.1248,527.822,555.3338
Mexico,1,15.83,1,3,1,2,1,1,25.63,50.9,418.6088,502.9611,470.0112
Mexico,0,15.58,4,3,2,1,2,2,25.04,35.34,275.5959,259.01,327.9933
Mexico,1,16.17,3,3,1,2,1,1,26.92,16.5,425.9308,428.9314,408.1872
Mexico,1,16.08,1,1,1,1,1,1,75.54,65.01,451.1684,421.9415,384.875
Mexico,1,16.0,3,3,1,4,1,2,33.83,56.64,408.7942,415.4281,413.7822
Mexico,0,15.92,1,1,1,4,1,2,82.41,39.04,639.126,592.6192,584.4275
Mexico,1,16.08,1,3,1,2,1,1,31.15,41.63,389.0871,468.0115,401.6598
Mexico,1,15.67,2,2,1,2,1,1,71.29,54.55,392.9818,402.0837,384.875
Mexico,1,15.42,5,3,1,1,1,2,28.84,28.84,371.6389,402.7986,387.6725
Mexico,1,15.75,3,3,1,4,2,1,62.13,62.13,463.0083,560.1514,471.8762
Mexico,1,15.25,1,4,1,1,1,1,30.34,76.49,312.5175,295.805,316.6169
Mexico,1,16.08,2,1,1,1,2,1,29.47,54.55,569.0217,600.6613,517.0086
Mexico,1,15.58,1,1,2,2,1,2,44.94,44.94,310.4923,364.91,354.6624
Mexico,1,15.75,2,1,1,4,2,2,72.96,39.02,476.7955,538.6256,453.8791
Mexico,1,15.92,2,2,1,4,1,1,88.7,76.49,530.1527,507.8858,515.0504
Mexico,1,15.83,2,1,2,2,1,1,63.03,76.49,491.6732,511.6985,437.0944
Mexico,1,15.67,1,3,1,1,1,1,41.27,21.82,364.7063,449.1069,391.4025
Mexico,0,15.33,1,3,2,2,1,1,14.57,14.57,399.7585,356.0454,389.5375
Mexico,1,16.17,3,3,1,1,1,2,27.91,70.09,391.1902,410.1857,408.1872
Mexico,0,16.0,1,2,1,1,1,1,51.56,25.23,423.4382,422.7672,431.1264
Mexico,0,15.5,1,3,1,2,1,1,22.57,75.54,478.4312,478.1014,423.853
Mexico,1,16.0,1,1,2,2,1,2,52.7,65.12,545.1083,564.9173,554.5878
Mexico,0,15.75,1,1,1,1,1,1,67.94,39.02,508.1866,481.1488,528.7579
Mexico,0,15.67,2,3,1,1,1,1,41.63,68.7,449.1432,425.975,417.1391
Mexico,0,16.0,3,4,2,2,1,1,36.35,29.47,434.0318,428.3808,440.8243
Mexico,1,15.5,3,4,1,1,2,2,22.57,16.38,229.9501,298.9823,307.2921
Mexico,1,15.58,1,1,1,1,1,1,79.74,41.63,343.675,399.7008,337.3182
Mexico,1,15.33,5,4,1,1,2,1,29.47,29.47,514.1845,528.2996,418.4446
Mexico,0,16.0,1,1,1,1,1,1,72.3,76.49,528.2832,447.6275,519.1533
Mexico,0,15.92,2,2,1,4,1,1,78.17,44.94,584.4446,567.0371,610.8169
Mexico,1,16.0,3,2,1,4,2,1,28.52,28.48,462.0735,432.4264,505.912
Mexico,1,15.58,2,3,2,2,1,1,72.3,70.89,460.2041,504.3909,472.5289
Mexico,1,15.5,1,3,2,1,2,1,51.5,50.57,361.7464,413.6807,343.4726
Mexico,1,16.0,1,1,4,4,1,2,23.53,16.5,498.6836,499.7839,416.5796
Mexico,1,15.83,3,4,1,1,1,1,26.64,16.5,357.9296,419.5585,326.1283
Mexico,1,16.08,3,4,2,2,2,2,14.21,29.73,295.6146,275.7884,341.7009
Mexico,0,16.17,3,3,1,4,1,2,60.29,29.47,441.8212,417.1536,465.069
Mexico,1,16.17,1,1,1,4,1,2,71.39,68.88,579.771,677.7888,594.0321
Mexico,0,15.92,3,3,1,1,2,1,30.78,16.38,410.6637,406.5679,378.3476
Mexico,1,15.42,5,1,1,4,2,2,51.5,16.5,393.9944,417.0168,401.6598
Mexico,0,15.42,4,3,1,4,1,1,29.73,29.73,395.3186,431.4282,448.93699999999995
Mexico,0,16.17,1,4,1,4,1,1,11.74,68.7,339.2351,306.3248,361.5628
Mexico,0,16.17,1,3,1,1,1,1,51.92,58.77,522.0517,490.1306,504.9795
Mexico,1,15.25,4,4,2,4,1,2,30.34,16.38,402.2511,423.2124,396.6244
Mexico,0,15.75,1,1,1,2,1,1,42.3,68.7,357.0728,390.2082,294.0507
Mexico,0,15.42,2,2,2,2,1,1,76.49,76.49,392.7481,307.2871,387.486
Mexico,1,15.42,4,3,1,1,2,1,14.21,14.21,404.5879,499.4661,424.599
Mexico,1,15.75,2,2,1,1,1,1,29.73,31.08,491.1279,503.7554,479.0563
Mexico,0,15.67,1,4,1,2,2,1,28.48,44.14,428.1119,443.6178,360.2574
Mexico,0,15.83,2,2,1,1,2,1,50.9,76.49,407.7037,418.2763,392.8944
Mexico,0,16.0,4,4,2,3,1,2,36.35,16.5,413.0784,376.094,364.2671
Mexico,0,15.58,5,5,1,4,1,2,11.74,25.63,402.8743,316.1085,328.7393
Mexico,1,15.25,3,3,3,1,2,1,22.57,14.21,540.0452,506.1384,501.3428
Mexico,0,15.92,1,1,2,2,2,2,29.73,50.15,427.0992,389.0053,436.4416
Mexico,0,16.17,1,1,1,4,1,1,77.1,79.74,626.5851,634.3203,594.0321
Mexico,1,15.92,1,1,1,2,1,2,70.09,86.72,339.2351,435.4448,474.1141
Mexico,0,16.08,2,2,1,1,2,2,44.08,81.13,395.7859,501.9192,424.972
Mexico,0,15.58,1,2,1,2,2,1,25.45,31.08,470.564,519.562,489.3137
Mexico,0,16.17,1,1,1,4,1,2,84.14,30.59,450.5453,453.0807,431.7792
Mexico,1,15.33,2,3,1,2,1,2,39.04,56.0,383.4787,383.894,427.1167
Mexico,1,15.58,3,3,1,4,1,2,15.35,21.24,456.3094,422.5769,449.2167
Mexico,1,15.25,1,2,1,1,1,1,63.03,44.94,430.1371,439.5752,421.0556
Mexico,0,15.58,4,4,2,2,1,2,11.74,26.64,437.1475,430.7866,377.4151
Mexico,0,15.83,3,4,2,1,1,1,26.64,26.64,460.7493,474.7332,479.7091
Mexico,0,15.25,3,3,1,2,1,1,30.11,31.08,357.6959,448.269,335.4532
Mexico,1,15.75,3,3,2,2,1,2,25.95,23.41,334.6394,430.0434,346.27
Mexico,0,16.0,2,2,2,2,2,1,76.49,76.49,457.7115,451.6372,529.0377
Mexico,1,15.67,5,4,1,4,1,1,39.04,29.73,455.2968,486.2806,519.1533
Mexico,0,16.0,1,1,1,2,1,2,25.95,44.94,366.2642,331.1851,437.0944
Mexico,0,15.67,4,3,1,2,2,2,22.57,16.38,429.5139,330.3831,328.273
Mexico,1,16.08,3,5,1,4,2,2,25.95,14.82,341.494,386.1975,413.1294
Mexico,0,15.75,3,5,1,2,2,2,22.57,31.08,507.4856,445.0613,434.2969
Mexico,1,15.83,3,1,2,2,1,2,16.5,14.57,361.7464,393.8229,285.6583
Mexico,0,15.25,1,1,1,4,1,1,81.92,85.41,479.3659,479.2241,490.8057
Mexico,0,16.0,2,2,3,2,1,1,11.74,58.77,446.9621,452.1184,432.4319
Mexico,1,15.33,3,1,2,4,1,2,62.13,26.64,410.6637,417.3345,391.216
Mexico,0,16.0,4,4,1,2,2,1,15.35,14.64,417.8299,358.1304,326.6878
Mexico,1,15.58,3,1,1,3,1,2,54.62,24.53,382.7777,490.7287,423.6665
Mexico,1,16.0,3,3,1,2,2,1,25.95,39.04,397.8891,415.4281,394.1999
Mexico,1,15.92,2,2,2,1,1,2,76.49,70.89,420.0888,461.657,388.5117
Mexico,0,15.92,3,3,1,1,2,1,72.83,31.08,504.1362,493.17800000000005,479.0563
Mexico,0,15.83,4,3,1,2,2,1,35.07,23.53,459.2694,457.2508,403.1518
Mexico,0,15.75,1,1,1,2,1,1,86.72,58.77,532.2558,486.8426,504.5132
Mexico,1,15.67,3,4,1,4,2,2,17.69,21.24,422.5035,447.0417,434.8564
Mexico,1,15.25,3,1,1,1,1,2,30.78,44.14,471.3429,521.9451,503.301
Mexico,1,15.83,3,3,1,2,2,2,11.74,38.88,375.7673,434.6504,454.1589
Mexico,1,15.25,2,2,1,2,1,1,25.95,85.41,343.1298,352.0422,388.3253
Mexico,1,15.67,2,1,1,4,1,1,51.01,68.88,654.7827,653.2446,596.1768
Mexico,1,15.67,1,2,1,2,1,1,76.65,44.94,515.0413,527.7436,502.3685
Mexico,1,15.75,3,4,1,1,1,2,25.06,20.35,383.4008,329.0072,338.2507
Mexico,1,15.75,3,2,1,3,1,1,36.92,21.24,484.6627,532.3506,541.533
Mexico,0,15.42,3,3,1,2,1,1,23.41,21.24,315.7112,360.1353,405.6695
Mexico,0,15.67,2,2,1,2,1,1,62.13,82.41,500.4752,365.6687,503.9537
Mexico,1,15.25,2,2,1,1,2,1,40.54,59.76,535.9947,489.3784,471.5964
Mexico,0,15.92,2,2,1,1,2,2,81.4,57.03,519.4033,453.8827,514.4909
Mexico,0,15.67,3,2,2,3,1,2,29.16,28.48,466.4356,499.5935,536.8706
Mexico,1,15.5,4,3,2,4,1,1,21.13,24.98,404.4322,383.1791,401.4733
Mexico,0,15.42,4,4,1,2,1,1,41.27,48.1,468.7724,493.0176,532.2081
Mexico,0,15.25,3,3,1,1,1,2,30.78,50.37,392.04699999999997,430.6262,423.0138
Mexico,0,16.17,2,2,1,2,1,1,70.09,70.09,535.3716,540.5729,601.492
Mexico,0,15.33,2,1,1,1,1,2,62.13,62.13,419.3099,415.3893,473.3681
Mexico,0,16.08,3,3,1,2,2,1,37.83,16.38,505.6161,509.9386,472.5289
Mexico,0,15.5,4,3,1,4,1,2,30.9,39.04,428.8129,439.4476,463.8568
Mexico,1,15.92,1,1,2,2,1,1,43.33,24.98,445.0148,528.379,426.7438
Mexico,1,15.92,2,3,1,1,2,1,76.65,70.09,502.7341,532.3506,483.066
Mexico,1,15.25,3,2,2,1,2,1,57.37,44.14,396.7986,410.0268,397.2771
Mexico,0,15.83,4,1,2,4,1,1,11.74,29.47,433.3307,439.4476,446.32599999999996
