CNT,ST04Q01,AGE,ST05Q01,ST06Q01,ST08Q01,ST09Q01,ST115Q01,CLCUSE1,PV1MATH,PV1READ,PV1SCIE
Mexico,0,15.67,3,6.0,1,1,1.0,3,459.6588,475.455,452.9467
Mexico,0,15.5,3,5.0,2,1,1.0,3,494.1658,506.4903,507.5905
Mexico,0,15.25,3,6.0,1,1,1.0,3,462.0735,438.6457,507.9634
Mexico,0,15.25,2,6.0,1,1,1.0,3,353.0223,320.7598,329.8583
Mexico,1,15.83,3,6.0,1,1,1.0,2,407.6258,412.4098,414.6214
Mexico,1,16.17,3,6.0,2,2,1.0,3,396.7986,417.1756,415.9269
Mexico,0,15.67,1,7.0,1,1,1.0,3,251.1372,232.225,316.4304
Mexico,1,15.58,3,6.0,1,1,1.0,3,522.9864,522.0246,456.9564
Mexico,0,15.42,3,5.0,2,1,1.0,3,388.2303,378.17900000000003,389.1645
Mexico,0,15.25,3,6.0,1,1,1.0,4,397.5775,404.6432,319.2279
Mexico,1,15.83,3,6.0,1,1,1.0,2,451.6358,425.1187,433.3644
Mexico,1,15.67,3,6.0,1,1,1.0,1,391.9692,429.8846,414.7147
Mexico,1,15.83,3,6.0,1,1,1.0,3,417.1288,444.9765,453.8791
Mexico,0,16.0,3,6.0,1,1,1.0,1,417.6741,439.4476,410.0522
Mexico,1,15.5,3,6.0,2,1,1.0,3,368.601,318.0457,360.6304
Mexico,1,15.5,3,6.0,2,2,1.0,3,448.1305,511.6985,516.2626
Mexico,0,15.67,3,6.0,2,2,1.0,3,367.1989,354.1207,281.9284
Mexico,1,15.67,2,6.0,1,1,1.0,2,412.1436,496.5272,470.6639
Mexico,1,16.0,3,6.0,1,1,1.0,3,491.1279,460.8627,448.2842
Mexico,0,15.92,3,6.0,2,1,2.0,3,510.835,517.8779,466.934
Mexico,1,15.92,3,6.0,1,1,1.0,2,395.0849,518.2119,430.56699999999995
Mexico,0,16.17,3,4.0,1,1,1.0,1,340.014,296.7014,312.14099999999996
Mexico,0,16.08,3,6.0,3,3,2.0,3,375.6115,384.9154,363.4278
Mexico,1,16.17,3,6.0,1,1,1.0,3,441.9769,518.5296,461.8985
Mexico,1,15.42,3,6.0,3,3,3.0,1,282.2947,341.7162,292.8385
Mexico,1,16.17,3,6.0,2,1,2.0,3,344.6876,404.4667,413.7822
Mexico,0,15.92,3,6.0,1,1,1.0,3,522.9864,505.6883,411.5442
Mexico,0,16.08,3,6.0,1,1,1.0,3,400.6933,411.0588,342.5401
Mexico,1,16.0,3,6.0,1,1,1.0,3,438.0044,439.4163,381.9843
Mexico,1,15.58,3,6.0,2,1,1.0,3,374.1315,396.5236,400.6341
Mexico,1,15.83,3,6.0,1,1,1.0,3,443.3011,466.3434,497.7061
Mexico,0,15.92,3,6.0,1,1,1.0,3,422.3477,492.5364,525.4942
Mexico,0,15.58,3,7.0,2,1,2.0,3,343.3635,325.5714,384.875
Mexico,0,15.42,3,6.0,1,1,1.0,3,431.9286,518.8402,461.0593
Mexico,1,15.5,2,5.0,1,1,1.0,3,437.9265,441.1638,457.6091
Mexico,1,15.33,3,6.0,2,2,1.0,3,463.7093,483.1828,498.9183
Mexico,1,16.17,2,6.0,1,1,2.0,3,511.2245,508.5213,510.6677
Mexico,0,15.42,3,6.0,1,1,1.0,2,571.1248,498.952,563.7262
Mexico,0,15.25,3,6.0,1,1,1.0,1,598.3876,516.5948,559.0638
Mexico,0,15.5,3,6.0,1,1,1.0,3,496.3468,487.5644,456.6766
Mexico,1,15.92,3,6.0,1,1,1.0,2,508.8098,495.8123,486.5162
Mexico,1,15.67,2,6.0,3,1,1.0,3,455.9199,510.1893,404.73699999999997
Mexico,1,16.0,3,6.0,1,1,1.0,2,438.1601,464.8342,450.8019
Mexico,1,15.5,2,7.0,1,1,1.0,3,467.9935,482.1502,414.7147
Mexico,0,15.42,3,5.0,2,1,1.0,2,387.4513,453.8827,435.5091
Mexico,1,15.75,3,6.0,1,1,1.0,3,417.8299,352.8365,414.9944
Mexico,1,15.42,1,7.0,2,1,1.0,2,231.1964,294.693,243.1369
Mexico,0,16.08,3,6.0,1,1,1.0,3,457.3999,437.2022,438.9593
Mexico,0,15.67,3,6.0,2,1,2.0,3,425.6193,429.8243,423.3868
Mexico,1,15.75,3,6.0,1,1,1.0,2,318.6711,428.2165,452.9467
Mexico,1,15.42,2,5.0,1,1,2.0,2,388.7755,486.2012,440.8243
Mexico,0,15.42,3,6.0,1,1,1.0,3,452.8042,444.2593,441.6636
Mexico,1,16.17,3,6.0,1,1,2.0,3,381.5314,378.0956,414.7147
Mexico,1,15.67,2,6.0,3,1,2.0,2,358.5527,489.5373,412.1969
Mexico,0,15.67,3,6.0,1,1,1.0,2,557.5713,558.7771,460.4066
Mexico,1,16.17,1,6.0,1,2,1.0,3,414.6362,482.3885,483.9985
Mexico,1,15.83,3,6.0,1,1,1.0,3,442.9117,499.1484,419.0041
Mexico,0,15.42,3,6.0,1,1,1.0,3,414.792,352.8376,426.837
Mexico,1,15.5,3,6.0,2,1,1.0,4,351.6981,412.4098,359.4181
Mexico,0,15.5,3,5.0,1,1,1.0,3,521.9738,470.6433,507.9634
Mexico,1,15.5,3,5.0,1,1,1.0,3,357.1506,466.4228,421.2421
Mexico,0,16.08,3,6.0,1,1,1.0,2,568.009,586.364,564.6587
Mexico,1,15.5,1,6.0,2,1,1.0,3,455.2189,529.9677,508.2432
Mexico,0,15.67,2,7.0,2,1,1.0,3,380.2072,453.0005,378.3476
Mexico,1,15.83,3,7.0,1,1,1.0,3,467.5261,442.7524,459.4741
Mexico,1,15.83,2,6.0,1,1,2.0,3,437.1475,490.411,459.4741
Mexico,0,15.75,2,7.0,2,1,1.0,3,423.8277,354.3613,367.1578
Mexico,1,15.75,2,6.0,3,1,1.0,3,409.5731,469.6001,405.3898
Mexico,1,16.17,3,6.0,1,1,1.0,2,357.1506,332.9787,358.4856
Mexico,1,15.42,2,6.0,1,1,1.0,3,394.306,344.2579,436.1619
Mexico,1,16.0,3,6.0,1,1,1.0,2,381.1419,364.7511,406.22900000000004
Mexico,1,15.5,3,6.0,1,1,2.0,3,482.7933,472.6185,453.8791
Mexico,1,15.33,3,6.0,1,1,1.0,3,451.1684,484.8508,425.9045
Mexico,0,16.08,3,6.0,2,1,1.0,3,406.0679,368.0745,382.9168
Mexico,1,15.58,3,6.0,1,1,1.0,3,434.0318,393.3463,417.5121
Mexico,0,15.42,3,6.0,1,1,1.0,3,461.9956,428.1402,467.8665
Mexico,1,15.92,3,6.0,2,1,1.0,3,528.439,551.414,573.5173
Mexico,0,15.33,3,6.0,1,1,1.0,1,441.5096,465.1099,473.4614
Mexico,0,15.33,3,6.0,1,3,1.0,3,533.2684,567.1173,487.0757
Mexico,0,16.08,2,6.0,1,1,1.0,3,495.2563,477.1391,483.7188
Mexico,0,15.5,3,8.0,1,1,1.0,2,385.7377,361.0174,391.4025
Mexico,0,16.17,2,6.0,1,1,1.0,3,459.4251,464.9495,470.6639
Mexico,0,15.92,3,6.0,1,1,1.0,3,432.7855,427.5789,406.8818
Mexico,0,15.58,3,6.0,1,1,2.0,3,496.3468,497.9896,495.8411
Mexico,0,15.58,3,7.0,2,2,2.0,3,402.8743,421.9652,382.0776
Mexico,1,15.33,3,6.0,1,1,1.0,3,368.7568,473.5716,400.0746
Mexico,1,15.5,3,6.0,1,1,2.0,3,509.0435,486.2806,492.7639
Mexico,1,15.25,3,6.0,1,1,1.0,2,230.1838,189.2086,215.1623
Mexico,0,15.42,3,6.0,1,1,1.0,2,549.4703,549.3141,508.2432
Mexico,0,15.75,3,6.0,1,1,1.0,2,335.4183,358.6116,322.9579
Mexico,0,15.83,3,6.0,1,1,1.0,2,451.2463,452.35900000000004,454.1589
Mexico,1,15.5,3,5.0,1,1,1.0,3,582.0299,563.4875,532.9541
Mexico,0,15.83,3,6.0,1,1,1.0,3,454.4399,446.6651,453.2264
Mexico,0,16.0,3,6.0,1,1,1.0,2,537.7863,558.9375,489.5934
Mexico,0,15.83,3,6.0,1,1,1.0,3,392.04699999999997,315.2263,417.7919
Mexico,0,16.0,2,6.0,1,1,1.0,3,574.1626,594.9448,533.1406
Mexico,1,15.33,2,6.0,1,1,1.0,2,490.4269,515.8289,440.4513
Mexico,1,16.17,3,6.0,2,1,1.0,3,515.8981,537.9902,507.3107
Mexico,0,15.5,3,5.0,3,1,1.0,1,467.7598,396.1426,416.5796
Mexico,1,15.83,3,6.0,1,1,1.0,2,530.5421,572.781,557.3853
Mexico,0,15.42,3,6.0,2,1,1.0,3,438.7833,387.3212,416.4864
Mexico,0,15.33,3,8.0,1,1,1.0,3,423.2045,327.2555,417.7919
Mexico,0,16.0,3,6.0,2,1,2.0,3,492.1405,386.3589,383.9426
Mexico,1,15.58,3,6.0,1,1,1.0,3,485.4417,466.5817,466.7475
Mexico,0,15.83,3,6.0,1,1,1.0,3,579.0699,555.7297,614.5468
Mexico,0,15.75,3,6.0,1,1,2.0,3,478.1196,445.7028,452.9467
Mexico,0,15.92,2,6.0,1,1,1.0,3,387.5292,342.4123,425.9045
Mexico,1,15.42,3,7.0,2,1,1.0,4,406.2237,429.8846,406.3223
Mexico,1,15.58,3,6.0,1,1,1.0,3,474.225,471.1887,452.9467
Mexico,1,16.08,3,7.0,2,2,1.0,3,272.8696,411.6154,306.4528
Mexico,1,15.33,2,5.0,2,1,1.0,3,470.6418,530.9208,432.2454
Mexico,1,15.92,3,6.0,2,1,1.0,3,380.9861,373.4091,404.4573
Mexico,1,15.83,3,7.0,1,1,1.0,2,411.5205,530.8414,491.4584
Mexico,0,16.17,3,6.0,2,2,2.0,2,503.8246,482.5923,435.2294
Mexico,0,15.5,3,5.0,1,1,2.0,3,462.8525,351.3941,434.2969
Mexico,1,15.42,2,5.0,1,1,1.0,3,221.0703,335.3617,261.7866
Mexico,1,15.92,3,6.0,1,2,1.0,2,468.2271,494.1443,446.4192
Mexico,1,15.92,1,6.0,2,1,2.0,2,298.4967,291.0392,253.3943
Mexico,1,15.58,3,6.0,2,1,2.0,3,373.74199999999996,446.4062,359.6979
Mexico,1,15.42,3,5.0,1,1,1.0,3,548.0682,560.3103,535.5651
Mexico,1,15.92,3,6.0,1,1,1.0,3,412.2994,420.4323,392.6147
Mexico,1,15.67,3,9.0,2,1,1.0,3,189.3675,232.0219,317.7359
Mexico,0,15.75,2,6.0,2,1,1.0,3,450.3116,424.9324,466.934
Mexico,0,16.0,3,6.0,1,1,1.0,2,363.46,323.32599999999996,355.5949
Mexico,0,16.17,3,6.0,1,1,1.0,2,626.5851,569.0419999999999,625.0839
Mexico,0,15.92,2,6.0,3,2,1.0,3,407.7816,382.5095,393.2674
Mexico,1,15.33,3,6.0,2,1,1.0,2,427.0213,414.7927,462.2715
Mexico,1,15.83,3,6.0,1,1,1.0,3,434.2655,382.226,464.1365
Mexico,0,15.33,3,6.0,1,1,1.0,2,473.2123,449.07099999999997,484.3715
Mexico,0,15.58,3,6.0,1,1,1.0,3,398.9796,401.9166,383.7561
Mexico,1,15.25,3,7.0,1,1,1.0,3,356.2159,413.2835,364.6401
Mexico,1,15.92,3,6.0,1,1,1.0,3,425.4635,471.1887,452.0142
Mexico,1,15.33,2,6.0,2,1,1.0,3,422.3477,437.1922,383.0101
Mexico,1,16.08,3,6.0,1,1,1.0,3,475.2376,490.967,464.1365
Mexico,0,16.08,1,6.0,1,1,1.0,1,372.9631,434.63599999999997,412.8497
Mexico,0,16.17,3,6.0,1,1,2.0,1,550.8724,476.3371,425.9045
Mexico,1,15.5,1,7.0,1,2,1.0,3,328.0184,353.5514,354.1029
Mexico,1,16.08,3,5.0,1,1,1.0,3,345.7003,409.0737,328.9258
Mexico,1,15.33,3,6.0,3,1,1.0,3,414.4804,460.7832,414.7147
Mexico,1,15.25,2,6.0,1,1,1.0,3,517.456,520.5154,505.4457
Mexico,0,15.42,3,6.0,1,1,2.0,3,572.6827,602.4029,556.2663
Mexico,0,15.58,3,7.0,2,2,2.0,3,346.0897,288.7622,389.8172
Mexico,1,15.92,3,6.0,1,1,1.0,3,583.5878,540.4525,558.1313
Mexico,0,15.92,3,6.0,1,1,4.0,3,364.3948,420.0406,403.5248
Mexico,0,15.58,1,7.0,2,2,1.0,3,327.7847,261.2554,308.411
Mexico,1,15.58,2,7.0,2,1,1.0,3,388.5418,415.587,444.5543
Mexico,0,15.92,3,6.0,2,2,1.0,3,324.4353,373.6881,407.9075
Mexico,1,16.0,3,6.0,1,1,1.0,3,410.1963,504.7086,401.2868
Mexico,1,15.67,3,6.0,2,1,1.0,2,398.3564,387.7861,431.7792
Mexico,0,16.08,3,6.0,1,1,1.0,3,454.3621,526.8597,524.655
Mexico,0,15.25,1,6.0,2,2,1.0,3,394.3839,390.529,364.2671
Mexico,0,15.42,3,6.0,1,1,1.0,3,434.0318,443.6178,446.2327
Mexico,0,15.83,3,6.0,1,1,1.0,3,403.3416,330.2227,386.74
Mexico,0,16.0,3,6.0,1,1,1.0,1,403.6532,396.1426,494.9086
Mexico,1,16.17,3,7.0,1,1,1.0,2,478.587,508.9979,491.7382
Mexico,0,16.17,3,7.0,1,1,2.0,2,469.8629,456.4489,407.0683
Mexico,1,15.75,1,6.0,1,1,1.0,3,380.5188,362.3682,355.6882
Mexico,1,15.75,3,7.0,1,1,1.0,3,397.6554,482.309,470.3842
Mexico,0,15.92,3,6.0,1,1,1.0,3,437.2254,376.094,505.0727
Mexico,0,16.08,3,6.0,2,2,1.0,3,539.4999,524.6142,499.1981
Mexico,1,16.08,3,6.0,1,1,1.0,3,428.8129,403.6723,391.4025
Mexico,1,15.92,3,6.0,2,1,1.0,3,330.4331,382.3848,321.4659
Mexico,1,15.92,1,6.0,1,1,1.0,3,399.2912,496.7655,434.8564
Mexico,1,16.0,3,7.0,3,2,2.0,3,388.38599999999997,401.4483,402.2193
Mexico,0,15.58,2,6.0,1,1,1.0,2,386.4387,452.1986,406.3223
Mexico,0,16.17,3,6.0,1,1,1.0,2,503.5909,506.0091,463.204
Mexico,0,16.0,3,6.0,1,1,1.0,3,403.6532,401.9166,334.3342
Mexico,0,15.75,3,6.0,1,1,1.0,2,361.1232,394.6991,397.5569
Mexico,1,16.0,2,7.0,1,2,2.0,3,421.6467,507.0121,409.3995
Mexico,1,16.0,3,6.0,1,1,1.0,3,356.917,395.7292,425.9045
Mexico,0,16.0,3,7.0,2,1,2.0,2,439.6401,423.4087,409.3995
Mexico,1,15.5,3,5.0,1,1,1.0,3,521.9738,533.0655,475.3264
Mexico,1,15.58,3,6.0,2,1,1.0,3,483.9617,497.4009,434.2037
Mexico,1,15.58,3,5.0,1,1,1.0,3,427.8782,463.325,452.2939
Mexico,1,15.67,2,6.0,2,1,1.0,3,316.4122,353.7897,353.1705
Mexico,0,15.33,2,7.0,1,1,1.0,2,307.8439,308.7306,344.7781
